sr_no,state,work,work_id,ida,honble_members_of_parliament,constituency,expenditure_date,vendor_name,payment_status,fund_disbursed_amount,amount
9648,Odisha,Construction of community centers and community halls,WS/MP370/2024-2025/145536,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),2026-03-23,BDO Rajgangpur EGB,Payment Success,144,144.0
9649,Odisha,Construction of community centers and community halls,WS/MP370/2024-2025/145537,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),2026-05-21,BDO Rajgangpur EGB,Payment Success,642,642.0
9650,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18429/2025-2026/227018,NANDED(DISTRICT COLLECTOR NANDED_IDA),Ravindra Vasantrao Chavan,NANDED,2026-04-02,Baliram Uttamrao Puyad,Payment Success,995712,995712.0
9651,Himachal Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18328/2025-2026/242433,MANDI(DEPUTY COMMISSIONER MANDI_IDA),Kangana Ranaut,MANDI,2026-08-24,GP PINGLA MPLADS,Payment Success,120000,120000.0
9652,Punjab,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP716/2025-2026/189754,MANSA(DEPUTY COMMISSIONER MANSA_IDA),Smt Harsimrat Kaur Badal,BHATINDA,2026-03-24,Darshana Kaur Sarpanch Juglan New,Payment Success,123669,123669.0
9653,Maharashtra,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP18118/2025-2026/188302,NASHIK(DISTRICT COLLECTOR NASHIK_IDA),BHASKAR MURLIDHAR BHAGARE,DINDORI(ST),2026-07-20,Om Deepak  Deshmukh,Payment Success,998000,998000.0
9654,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18118/2025-2026/188316,NASHIK(DISTRICT COLLECTOR NASHIK_IDA),BHASKAR MURLIDHAR BHAGARE,DINDORI(ST),2026-07-20,Om Deepak  Deshmukh,Payment Success,998000,998000.0
9655,Punjab,Construction of common work sheds/ common covered sitting area,WS/MP18314/2025-2026/219456,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,2026-07-23,Sidhu bko,Payment Success,32800,32800.0
9656,Punjab,Construction of common work sheds/ common covered sitting area,WS/MP18314/2025-2026/219456,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,2026-07-23,Sidhu bko,Payment Success,32800,32800.0
9657,Punjab,Construction of common work sheds/ common covered sitting area,WS/MP18314/2025-2026/219456,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,2026-03-24,Sidhu bko,Payment Success,6800,6800.0
9658,Haryana,"Patrolling Vehicles to government institution for Public Conveniences, Safety and Security",WS/MP18062/2025-2026/202993,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),JAI PARKASH,HISAR,2026-04-10,Hindustan Traders,Payment Success,10620,10620.0
9659,Maharashtra,Construction of community centers and community halls,WS/MP18134/2025-2026/183654,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),BHAUSAHEB RAJARAM WAKCHAURE,SHIRDI(SC),2026-05-15,Kalsubai Adi Majour Sah STY LTD Waki,Payment Success,686339,686339.0
9660,Gujarat,Construction of common work sheds/ common covered sitting area,WS/MP18321/2025-2026/182750,ARVALLI(DISTRICT COLLECTOR ARVALLI_IDA),SHOBHANABEN MAHENDRASINH BARAIYA,SABARKANTHA,2026-03-23,BOLUNDRA GRAM PANCHAYAT,Payment Success,500000,500000.0
9661,Punjab,Construction of bus-sheds or bus-stops,WS/MP18314/2025-2026/219458,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,2026-04-01,MS Ganesh cement store,Payment Success,9000,9000.0
9662,Punjab,Construction of bus-sheds or bus-stops,WS/MP18314/2025-2026/219458,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,2026-04-01,MS Ganesh cement store,Payment Success,73500,73500.0
9663,Punjab,Construction of bus-sheds or bus-stops,WS/MP18314/2025-2026/219458,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,2026-04-01,MS Ganesh cement store,Payment Success,6300,6300.0
9664,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/219462,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,2026-03-24,MS Ganesh cement store,Payment Success,50910,50910.0
9665,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP856/2025-2026/260300,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,2026-04-04,HARENDRUMA INFRASTRUCTURE,Payment Success,1193958,1193958.0
9666,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP856/2025-2026/228807,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,2026-03-23,HARENDRUMA INFRASTRUCTURE,Payment Success,790878,790878.0
9667,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP856/2025-2026/228814,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,2026-07-13,HARENDRUMA INFRASTRUCTURE,Payment Success,645792,645792.0
9668,Uttar Pradesh,Development of public parks,WS/MP856/2025-2026/228821,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,2026-07-13,HARENDRUMA INFRASTRUCTURE,Payment Success,1142946,1142946.0
9669,Punjab,Construction of bus-sheds or bus-stops,WS/MP18314/2025-2026/219458,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,2026-04-01,Shaina iron store ritu,Payment Success,13360,13360.0
9670,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP856/2025-2026/228813,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,2026-06-19,AWADH CONSTRUCTIONS COMPANY,Payment Success,955427,955427.0
9671,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP856/2025-2026/228809,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,2026-06-19,AWADH CONSTRUCTIONS COMPANY,Payment Success,1970137,1970137.0
9672,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP856/2025-2026/228806,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,2026-07-08,AWADH CONSTRUCTIONS COMPANY,Payment Success,888754,888754.0
