sr_no,work_category,work,state,ida,honble_members_of_parliament,constituency,work_description,recommended_date,sanction_date,sanction_amount,work_status,work_id,amount
1681,Normal/Others,WS/MP641/2024-2025/138932-Purchase of hospital equipment,Madhya Pradesh,BARWANI(DISTRICT COLLECTOR BADWANI_IDA),Gajendra Singh Patel,KHARGONE(ST),Purchase of hospital equipment Dead Body Freezer,04-Sep-2024,2024-12-30,236003,Physical Inspection,WS/MP641/2024-2025/138932,236003.0
1682,Normal/Others,WS/MP641/2024-2025/138934-Purchase of hospital equipment,Madhya Pradesh,BARWANI(DISTRICT COLLECTOR BADWANI_IDA),Gajendra Singh Patel,KHARGONE(ST),Purchase of hospital equipment Dead Body Freezer,04-Sep-2024,2024-12-30,236003,Physical Inspection,WS/MP641/2024-2025/138934,236003.0
1683,Normal/Others,WS/MP641/2024-2025/138935-Purchase of hospital equipment,Madhya Pradesh,BARWANI(DISTRICT COLLECTOR BADWANI_IDA),Gajendra Singh Patel,KHARGONE(ST),Purchase of hospital equipment Dead Body Freezer,04-Sep-2024,2024-12-30,236003,Physical Inspection,WS/MP641/2024-2025/138935,236003.0
1684,Normal/Others,WS/MP641/2024-2025/138936-Purchase of hospital equipment,Madhya Pradesh,BARWANI(DISTRICT COLLECTOR BADWANI_IDA),Gajendra Singh Patel,KHARGONE(ST),Purchase of hospital equipment Dead Body Freezer,04-Sep-2024,2024-12-30,236003,Physical Inspection,WS/MP641/2024-2025/138936,236003.0
1685,Normal/Others,WS/MP18245/2024-2025/138937-Lighting of public spaces,West Bengal,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),BAG MITALI,ARAMBAG(SC),SOLAR PANEL HIGH MAST LIGHT AT HARINAKHALI WITHIN KALEPARA GP UNDER PURSURAH DEV. BLOCK,12-Sep-2024,2024-12-02,377924,Physical Inspection,WS/MP18245/2024-2025/138937,377924.0
1686,Normal/Others,WS/MP18245/2024-2025/138938-Lighting of public spaces,West Bengal,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),BAG MITALI,ARAMBAG(SC),SOLAR PANEL HIGH MAST LIGHT AT KESHABPUR WITHIN MALAYPUR-II GP UNDER ARAMBAGH DEV.BLOCK,12-Sep-2024,2024-12-02,377924,Physical Inspection,WS/MP18245/2024-2025/138938,377924.0
1687,Normal/Others,WS/MP18245/2024-2025/138940-Lighting of public spaces,West Bengal,Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA),BAG MITALI,ARAMBAG(SC),SOLAR PANEL HIGH MAST LIGHT AT HIRADHARPUR WITHIN MANOHARPUR-I UNDER CHANDRAKONA BLOCK,18-Dec-2024,2025-03-27,377848,Physical Inspection,WS/MP18245/2024-2025/138940,377848.0
1688,Normal/Others,WS/MP18245/2024-2025/138941-Lighting of public spaces,West Bengal,Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA),BAG MITALI,ARAMBAG(SC),SOLAR PANEL HIGH MAST LIGHT AT KHANDANGA WITHIN BHAGABANTAPUR-II GP UNDER CHANDRAKONA-II DEV. BLOCK,18-Dec-2024,2025-03-27,377848,Physical Inspection,WS/MP18245/2024-2025/138941,377848.0
1689,Normal/Others,WS/MP18236/2024-2025/138942-Purchase of non-conventional energy system and devices for community use,Uttar Pradesh,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of semi high mast light near Panchayat Bhawan in village Padhauti block naugarh,04-Sep-2024,2024-12-02,243755,Physical Inspection,WS/MP18236/2024-2025/138942,243755.0
1690,Normal/Others,WS/MP18236/2024-2025/138943-Purchase of non-conventional energy system and devices for community use,Uttar Pradesh,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of semi high mast light near Robertsganj Naugarh Road 100 m east of Trimukhani in village Baghi Naugarh Dhankuwari Road  block naugarh,04-Sep-2024,2024-12-02,243755,Physical Inspection,WS/MP18236/2024-2025/138943,243755.0
1691,Normal/Others,WS/MP18236/2024-2025/138944-Purchase of non-conventional energy system and devices for community use,Uttar Pradesh,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of semi high mast light near the gate of village Baghi Naugarh Hospital  block naugarh,04-Sep-2024,2024-12-02,243755,Physical Inspection,WS/MP18236/2024-2025/138944,243755.0
1692,Normal/Others,WS/MP18236/2024-2025/138945-Purchase of non-conventional energy system and devices for community use,Uttar Pradesh,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of semi high mast light at the intersection of village Malevar  block naugarh,04-Sep-2024,2024-12-02,243755,Physical Inspection,WS/MP18236/2024-2025/138945,243755.0
1693,Normal/Others,WS/MP18236/2024-2025/138946-Purchase of non-conventional energy system and devices for community use,Uttar Pradesh,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of semi high mast light near Paddy Procurement Cooperative Police Station Naugarh  block naugarh,04-Sep-2024,2024-12-02,243755,Physical Inspection,WS/MP18236/2024-2025/138946,243755.0
1694,Normal/Others,WS/MP18236/2024-2025/138947-Purchase of non-conventional energy system and devices for community use,Uttar Pradesh,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of semi high mast light at the intersection of village Karmabandh  block naugarh,04-Sep-2024,2024-12-02,243755,Physical Inspection,WS/MP18236/2024-2025/138947,243755.0
1695,Normal/Others,WS/MP18236/2024-2025/138948-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),High mast light outside the gate of  Nagwan block office Block Nagwa,04-Sep-2024,2025-03-24,592984,Physical Inspection,WS/MP18236/2024-2025/138948,592984.0
1696,Normal/Others,WS/MP18236/2024-2025/138949-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),High mast light at village Chichlik Mela Sthal  Block Nagwa,04-Sep-2024,2025-03-24,592984,Physical Inspection,WS/MP18236/2024-2025/138949,592984.0
1697,Normal/Others,WS/MP18236/2024-2025/138950-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),High mast light at Veer Lorik Memorial Sthal  Block Nagwa,04-Sep-2024,2025-03-24,592984,Physical Inspection,WS/MP18236/2024-2025/138950,592984.0
1698,Normal/Others,WS/MP18236/2024-2025/138951-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),High mast light on the road in front of Maa Shiv Devi Mahavidyalaya  Block Ghorawal,04-Sep-2024,2025-03-24,592984,Physical Inspection,WS/MP18236/2024-2025/138951,592984.0
1699,Normal/Others,WS/MP18236/2024-2025/138952-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),High mast light near the western side  adjacent to the Nigam's house in village Mushi Block Robertsganj,04-Sep-2024,2025-03-24,592984,Physical Inspection,WS/MP18236/2024-2025/138952,592984.0
1700,Normal/Others,WS/MP18236/2024-2025/138953-Lighting of public spaces,Uttar Pradesh,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),CHHOTELAL,ROBERTSGANJ(SC),High mast light near Karbala in village Barwan Block Robertsganj,04-Sep-2024,2025-03-24,592984,Physical Inspection,WS/MP18236/2024-2025/138953,592984.0
1701,Normal/Others,WS/MP18236/2024-2025/138954-Lighting of public spaces,Uttar Pradesh,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of semi high mast light near Lalbi Bind's house in village Baghi Block Naugarh,05-Sep-2024,2024-12-02,243756,Physical Inspection,WS/MP18236/2024-2025/138954,243756.0
1702,Normal/Others,WS/MP18236/2024-2025/138955-Lighting of public spaces,Uttar Pradesh,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),Installation of semi high mast light near Block development office Naugarh,05-Sep-2024,2024-12-02,243756,Physical Inspection,WS/MP18236/2024-2025/138955,243756.0
1703,Normal/Others,WS/MP18236/2024-2025/138956-Lighting of public spaces,Uttar Pradesh,CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA),CHHOTELAL,ROBERTSGANJ(SC),"Installation of Semi high mast light at public place near Latif Shah Mazar village Pitpur in block Chakiya, Chandauli",05-Sep-2024,2024-12-02,243756,Physical Inspection,WS/MP18236/2024-2025/138956,243756.0
