work_id,total_disbursed,payment_count,vendor_count,max_single_payment,min_single_payment,avg_payment,vendor_payment_ratio,largest_payment_ratio,vendor_count_zscore,vendor_count_outlier,max_single_payment_zscore,max_single_payment_outlier,total_disbursed_zscore,total_disbursed_outlier,log_total_disbursed,log_max_payment,log_avg_payment
WS/MP654/2025-2026/172111,366370.0,2,1,244246.0,122124.0,183185.0,0.5,0.6666648470125829,-0.15186309381776222,0,-0.312903240163302,0,-0.15180024472749584,0,12.811401760178091,12.405935287332158,12.118257309088095
WS/MP654/2025-2026/172112,366650.0,2,1,244527.0,122123.0,183325.0,0.5,0.6669221328242193,-0.15186309381776222,0,-0.3124273544187589,0,-0.15145805627921524,0,12.812165720914926,12.407085100767617,12.119021267740523
WS/MP654/2025-2026/172113,367528.0,2,1,245018.0,122510.0,183764.0,0.5,0.6666648527459133,-0.15186309381776222,0,-0.3115958245234896,0,-0.15038505107353534,0,12.8145575060863,12.409091037540348,12.12141304639638
WS/MP654/2025-2026/172114,367528.0,2,1,245018.0,122510.0,183764.0,0.5,0.6666648527459133,-0.15186309381776222,0,-0.3115958245234896,0,-0.15038505107353534,0,12.8145575060863,12.409091037540348,12.12141304639638
WS/MP654/2025-2026/172115,367528.0,2,1,245018.0,122510.0,183764.0,0.5,0.6666648527459133,-0.15186309381776222,0,-0.3115958245234896,0,-0.15038505107353534,0,12.8145575060863,12.409091037540348,12.12141304639638
WS/MP654/2025-2026/172116,367528.0,2,1,245018.0,122510.0,183764.0,0.5,0.6666648527459133,-0.15186309381776222,0,-0.3115958245234896,0,-0.15038505107353534,0,12.8145575060863,12.409091037540348,12.12141304639638
WS/MP654/2025-2026/172117,367528.0,2,1,245018.0,122510.0,183764.0,0.5,0.6666648527459133,-0.15186309381776222,0,-0.3115958245234896,0,-0.15038505107353534,0,12.8145575060863,12.409091037540348,12.12141304639638
WS/MP654/2025-2026/172118,367528.0,2,1,245018.0,122510.0,183764.0,0.5,0.6666648527459133,-0.15186309381776222,0,-0.3115958245234896,0,-0.15038505107353534,0,12.8145575060863,12.409091037540348,12.12141304639638
WS/MP654/2025-2026/172119,367036.0,2,1,245018.0,122018.0,183518.0,0.5,0.6675584956244074,-0.15186309381776222,0,-0.3115958245234896,0,-0.1509863250612284,0,12.813217939393663,12.409091037540348,12.120073483350968
WS/MP654/2025-2026/172120,366054.0,2,1,244036.0,122018.0,183027.0,0.5,0.6666666666666666,-0.15186309381776222,0,-0.31325888431402815,0,-0.15218642883341252,0,12.810538874317658,12.405075132123518,12.117394425583896
WS/MP654/2025-2026/172121,366054.0,2,1,244036.0,122018.0,183027.0,0.5,0.6666666666666666,-0.15186309381776222,0,-0.31325888431402815,0,-0.15218642883341252,0,12.810538874317658,12.405075132123518,12.117394425583896
WS/MP654/2025-2026/172122,366054.0,2,1,244036.0,122018.0,183027.0,0.5,0.6666666666666666,-0.15186309381776222,0,-0.31325888431402815,0,-0.15218642883341252,0,12.810538874317658,12.405075132123518,12.117394425583896
WS/MP654/2025-2026/172123,366054.0,2,1,244036.0,122018.0,183027.0,0.5,0.6666666666666666,-0.15186309381776222,0,-0.31325888431402815,0,-0.15218642883341252,0,12.810538874317658,12.405075132123518,12.117394425583896
WS/MP654/2025-2026/172124,366054.0,2,1,244036.0,122018.0,183027.0,0.5,0.6666666666666666,-0.15186309381776222,0,-0.31325888431402815,0,-0.15218642883341252,0,12.810538874317658,12.405075132123518,12.117394425583896
WS/MP654/2025-2026/172133,366964.0,2,1,305904.0,61060.0,183482.0,0.5,0.8336076563368614,-0.15186309381776222,0,-0.2084827304229502,0,-0.15107431637650054,0,12.813021754641493,12.631029875216267,12.119877299133359
WS/MP654/2025-2026/172134,366964.0,2,1,305904.0,61060.0,183482.0,0.5,0.8336076563368614,-0.15186309381776222,0,-0.2084827304229502,0,-0.15107431637650054,0,12.813021754641493,12.631029875216267,12.119877299133359
WS/MP654/2025-2026/172135,366964.0,2,1,305904.0,61060.0,183482.0,0.5,0.8336076563368614,-0.15186309381776222,0,-0.2084827304229502,0,-0.15107431637650054,0,12.813021754641493,12.631029875216267,12.119877299133359
WS/MP654/2025-2026/172136,366964.0,2,1,305904.0,61060.0,183482.0,0.5,0.8336076563368614,-0.15186309381776222,0,-0.2084827304229502,0,-0.15107431637650054,0,12.813021754641493,12.631029875216267,12.119877299133359
WS/MP654/2025-2026/172137,366964.0,2,1,305904.0,61060.0,183482.0,0.5,0.8336076563368614,-0.15186309381776222,0,-0.2084827304229502,0,-0.15107431637650054,0,12.813021754641493,12.631029875216267,12.119877299133359
WS/MP654/2025-2026/172138,366964.0,2,1,305904.0,61060.0,183482.0,0.5,0.8336076563368614,-0.15186309381776222,0,-0.2084827304229502,0,-0.15107431637650054,0,12.813021754641493,12.631029875216267,12.119877299133359
WS/MP654/2025-2026/178969,198723.0,1,1,198723.0,198723.0,198723.0,1.0,1.0,-0.15186309381776222,0,-0.38999842432286014,0,-0.35668191183070586,0,12.199672206349145,12.199672206349145,12.199672206349145
WS/MP654/2025-2026/178970,198723.0,1,1,198723.0,198723.0,198723.0,1.0,1.0,-0.15186309381776222,0,-0.38999842432286014,0,-0.35668191183070586,0,12.199672206349145,12.199672206349145,12.199672206349145
WS/MP654/2025-2026/178971,198723.0,1,1,198723.0,198723.0,198723.0,1.0,1.0,-0.15186309381776222,0,-0.38999842432286014,0,-0.35668191183070586,0,12.199672206349145,12.199672206349145,12.199672206349145
WS/MP654/2025-2026/178972,198723.0,1,1,198723.0,198723.0,198723.0,1.0,1.0,-0.15186309381776222,0,-0.38999842432286014,0,-0.35668191183070586,0,12.199672206349145,12.199672206349145,12.199672206349145
WS/MP654/2025-2026/178973,198723.0,1,1,198723.0,198723.0,198723.0,1.0,1.0,-0.15186309381776222,0,-0.38999842432286014,0,-0.35668191183070586,0,12.199672206349145,12.199672206349145,12.199672206349145
WS/MP654/2025-2026/178974,198723.0,1,1,198723.0,198723.0,198723.0,1.0,1.0,-0.15186309381776222,0,-0.38999842432286014,0,-0.35668191183070586,0,12.199672206349145,12.199672206349145,12.199672206349145
WS/MP654/2025-2026/178975,198723.0,1,1,198723.0,198723.0,198723.0,1.0,1.0,-0.15186309381776222,0,-0.38999842432286014,0,-0.35668191183070586,0,12.199672206349145,12.199672206349145,12.199672206349145
WS/MP654/2025-2026/178976,198723.0,1,1,198723.0,198723.0,198723.0,1.0,1.0,-0.15186309381776222,0,-0.38999842432286014,0,-0.35668191183070586,0,12.199672206349145,12.199672206349145,12.199672206349145
WS/MP654/2025-2026/181108,198723.0,2,1,100000.0,98723.0,99361.5,0.5,0.5032130151014226,-0.15186309381776222,0,-0.55719012666638,0,-0.35668191183070586,0,12.199672206349145,11.51293546492023,11.506530057881369
WS/MP654/2025-2026/181109,198723.0,2,1,100000.0,98723.0,99361.5,0.5,0.5032130151014226,-0.15186309381776222,0,-0.55719012666638,0,-0.35668191183070586,0,12.199672206349145,11.51293546492023,11.506530057881369
WS/MP654/2025-2026/181110,198723.0,2,1,100000.0,98723.0,99361.5,0.5,0.5032130151014226,-0.15186309381776222,0,-0.55719012666638,0,-0.35668191183070586,0,12.199672206349145,11.51293546492023,11.506530057881369
WS/MP654/2025-2026/181111,198723.0,2,1,100000.0,98723.0,99361.5,0.5,0.5032130151014226,-0.15186309381776222,0,-0.55719012666638,0,-0.35668191183070586,0,12.199672206349145,11.51293546492023,11.506530057881369
WS/MP654/2025-2026/181112,198723.0,2,1,100000.0,98723.0,99361.5,0.5,0.5032130151014226,-0.15186309381776222,0,-0.55719012666638,0,-0.35668191183070586,0,12.199672206349145,11.51293546492023,11.506530057881369
WS/MP654/2025-2026/181113,198723.0,2,1,100000.0,98723.0,99361.5,0.5,0.5032130151014226,-0.15186309381776222,0,-0.55719012666638,0,-0.35668191183070586,0,12.199672206349145,11.51293546492023,11.506530057881369
WS/MP654/2025-2026/181114,198723.0,2,1,100000.0,98723.0,99361.5,0.5,0.5032130151014226,-0.15186309381776222,0,-0.55719012666638,0,-0.35668191183070586,0,12.199672206349145,11.51293546492023,11.506530057881369
WS/MP654/2025-2026/181115,198723.0,2,1,100000.0,98723.0,99361.5,0.5,0.5032130151014226,-0.15186309381776222,0,-0.55719012666638,0,-0.35668191183070586,0,12.199672206349145,11.51293546492023,11.506530057881369
