sr_no,work_category,work,state,ida,work_description,honble_members_of_parliament,constituency,image,completion_date,amount_disbursed,work_id,amount
6520,Normal/Others,"WS/MP18069/2024-2025/165735-Construction of roads, link roads, pathways or any other road with or without drainage system",Himachal Pradesh,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),Construction of inter lock zeep road from PWD road to the house of chaman singh village chochar ward no5,RAJEEV BHARDWAJ,KANGRA,Images,2025-08-20,150000,WS/MP18069/2024-2025/165735,150000.0
6521,Normal/Others,WS/MP18251/2024-2025/155512-Street lights,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),INSTALLATION OF 1 NO. OF SOLAR STREET LIGHT (WITH 6 MTR. G.I. POLE & 1 NO. 20 WATT LED BULB) NEAR SAHEBPUR KATHPOLE NEAR KALIMANDIR,SAYANI GHOSH,JADAVPUR,Images,2025-08-25,34259,WS/MP18251/2024-2025/155512,34259.0
6522,Normal/Others,WS/MP18251/2024-2025/155507-Street lights,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),INSTALLATION OF 1 NO. OF SOLAR STREET LIGHT (WITH 6 MTR. G.I. POLE & 1 NO. 20 WATT LED BULB) NEAR SAHEBPUR JAGANNATH MANDIR,SAYANI GHOSH,JADAVPUR,Images,2025-08-25,34259,WS/MP18251/2024-2025/155507,34259.0
6523,Normal/Others,WS/MP18251/2024-2025/155506-Street lights,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),INSTALLATION OF 1 NO. OF SOLAR STREET LIGHT (WITH 6 MTR. G.I. POLE & 1 NO. 20 WATT LED BULB) NEAR SAHEBPUR GHOSHPARA SITALA MANDIR,SAYANI GHOSH,JADAVPUR,Images,2025-08-25,34259,WS/MP18251/2024-2025/155506,34259.0
6524,Normal/Others,WS/MP18099/2025-2026/175745-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Madhya Pradesh,BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA),construction of Cremation,ALOK SHARMA,BHOPAL,Images,2026-08-04,498098,WS/MP18099/2025-2026/175745,498098.0
6525,Normal/Others,WS/MP18099/2025-2026/175744-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Madhya Pradesh,BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA),construction of Cremation,ALOK SHARMA,BHOPAL,Images,2026-08-04,498098,WS/MP18099/2025-2026/175744,498098.0
6526,Normal/Others,"WS/MP372/2024-2025/180912-Construction of roads, link roads, pathways or any other road with or without drainage system",Odisha,Kataka(DISTRICT COLLECTOR CUTTACK_IDA),"CONSTRUCTION OF CC ROAD FROM INDIRA AWAS COLONY TO JODAMBA CHHAK, WARD NO -10, BARAMBAGARH GP, CUTTACK",Shri Bhartruhari Mahtab,CUTTACK,Images,2025-05-05,200000,WS/MP372/2024-2025/180912,200000.0
6527,Normal/Others,WS/MP18099/2025-2026/175751-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Madhya Pradesh,BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA),construction of Cremation,ALOK SHARMA,BHOPAL,Images,2026-08-04,498098,WS/MP18099/2025-2026/175751,498098.0
6528,Normal/Others,WS/MP18099/2025-2026/175749-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Madhya Pradesh,BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA),construction of Cremation,ALOK SHARMA,BHOPAL,Images,2026-08-04,498098,WS/MP18099/2025-2026/175749,498098.0
6529,Normal/Others,WS/MP18099/2025-2026/175750-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Madhya Pradesh,BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA),construction of Cremation,ALOK SHARMA,BHOPAL,Images,2026-08-04,498098,WS/MP18099/2025-2026/175750,498098.0
