"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"7241","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18067/2025-2026/251796","JIND(DEPUTY COMMISSIONER JIND)","SATPAL BRAHAMCHARI","SONEPAT","08-May-2026","Bharat Bhatta Co","Payment Success","5936"
"7242","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18067/2025-2026/251796","JIND(DEPUTY COMMISSIONER JIND)","SATPAL BRAHAMCHARI","SONEPAT","08-May-2026","SHREE RAM ENTERPRISES","Payment Success","133764"
"7243","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18067/2026-2027/267379","JIND(DEPUTY COMMISSIONER JIND)","SATPAL BRAHAMCHARI","SONEPAT","26-Jun-2026","SHREE RAM ENTERPRISES","Payment Success","11760"
"7244","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227478","Kekri(DISTRICT COLLECTOR Kekri_IDA)","Bhagirath Chaudhary","AJMER","13-May-2026","Sahanaj","Payment Success","3640"
"7245","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227478","Kekri(DISTRICT COLLECTOR Kekri_IDA)","Bhagirath Chaudhary","AJMER","13-May-2026","Usman Mohammad","Payment Success","3640"
"7246","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227478","Kekri(DISTRICT COLLECTOR Kekri_IDA)","Bhagirath Chaudhary","AJMER","13-May-2026","Ramdhan Jat","Payment Success","3000"
"7247","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227478","Kekri(DISTRICT COLLECTOR Kekri_IDA)","Bhagirath Chaudhary","AJMER","13-May-2026","Hemraj Jat","Payment Success","9750"
"7248","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227478","Kekri(DISTRICT COLLECTOR Kekri_IDA)","Bhagirath Chaudhary","AJMER","13-May-2026","Gheesa Lal Meewara","Payment Success","2800"
"7249","Rajasthan","Establishing public ground water recharging facilities","WS/MP18167/2025-2026/207608","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","11-May-2026","Raj consruction company","Payment Success","249970"
"7250","Madhya Pradesh","Purchase of furniture and fixtures for educational purposes","WS/MP18104/2026-2027/261864","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","DARSHAN SINGH CHOUDHARY","HOSHANGABAD","12-May-2026","SHRINGAAR HARDWARE WORK SHOP","Payment Success","99620"
"7251","Goa","Purchase of sanitary pad vending machine and incinerators","WS/MP18052/2026-2027/269723","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","CAPTAIN VIRIATO FERNANDES","SOUTH GOA","18-Jun-2026","ALTERENERGYZ","Payment Success","98884"
"7252","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP588/2025-2026/213381","DEVBHUMI DWARKA(DISTRICT COLLECTOR DEVBHUMI DWARKA_IDA)","Smt Poonamben Hematbhai Maadam","JAMNAGAR","27-May-2026","BHINDA GRAM PANCHAYAT","Payment Success","496972"
"7253","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP370/2025-2026/254421","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","SUNDARGARH (ST)","12-May-2026","AJAY BAJPAYEE","Payment Success","600000"
"7254","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/220660","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","08-May-2026","ARUMUGAM","Payment Success","794721"
"7255","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP588/2025-2026/202637","DEVBHUMI DWARKA(DISTRICT COLLECTOR DEVBHUMI DWARKA_IDA)","Smt Poonamben Hematbhai Maadam","JAMNAGAR","26-May-2026","VINJALPAR GRAM PANCHAYAT","Payment Success","493832"
"7256","Odisha","Construction of community centers and community halls","WS/MP18358/2025-2026/180382","GANJAM(DISTRICT COLLECTOR GANJAM_IDA)","ANITA SUBHADARSHINI","ASKA","30-May-2026","KALPANA PADHY","Payment Success","200000"
"7257","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP428/2026-2027/278464","Kabeerdham(DISTRICT COLLECTOR KABIRDHAM)","Santosh Pandey","RAJNANDGAON","21-May-2026","GRAM PANCHAYAT GOURMATI","Payment Success","150000"
"7258","Karnataka","Construction of buildings for community cultural activities","WS/MP18087/2025-2026/244486","HAVERI(DEPUTY COMMISSIONER HAVERI_IDA)","BASAVARAJ BOMMAI","HAVERI","11-May-2026","ROCKY CONSTRUCTION","Payment Success","374458"
"7259","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18306/2025-2026/185494","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","DR. M.P ABDUSSAMAD SAMADANI","PONNANI","16-May-2026","PURUSHOTHAMAN E P","Payment Success","418865"
"7260","Delhi","Lighting of public spaces","WS/MP18399/2025-2026/215512","SOUTH(COMMISSIONER SOUTH)","Ramvir Singh Bidhuri","SOUTH DELHI","02-May-2026","AAKANKSHA SINGH","Payment Success","704321"
"7261","Delhi","Lighting of public spaces","WS/MP18399/2025-2026/215513","SOUTH(COMMISSIONER SOUTH)","Ramvir Singh Bidhuri","SOUTH DELHI","02-May-2026","AAKANKSHA SINGH","Payment Success","696725"
"7262","Delhi","Providing sports equipment, except consumable items","WS/MP18397/2025-2026/185217","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","690758"
"7263","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189797","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","186225"
"7264","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189798","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","318304"
"7265","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189799","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","791870"
"7266","Delhi","Development of public parks","WS/MP18395/2025-2026/182658","NORTH(COMMISSIONER MCD NORTH_IDA)","Praveen Khandelwal","CHANDINI CHOWK","19-May-2026","Swing Craft","Payment Success","304850"
"7267","Delhi","Development of public parks","WS/MP18395/2025-2026/182657","NORTH WEST(COMMISSIONER NORTH WEST)","Praveen Khandelwal","CHANDINI CHOWK","19-May-2026","Swing Craft","Payment Success","304849"
"7268","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/194995","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","186225"
"7269","Delhi","Development of public parks","WS/MP18399/2025-2026/157764","SOUTH(COMMISSIONER SOUTH)","Ramvir Singh Bidhuri","SOUTH DELHI","21-May-2026","Swing Craft","Payment Success","431860"
"7270","Delhi","Development of public parks","WS/MP18399/2025-2026/187240","SOUTH(COMMISSIONER SOUTH)","Ramvir Singh Bidhuri","SOUTH DELHI","21-May-2026","Swing Craft","Payment Success","730139"
"7271","Delhi","Development of public parks","WS/MP18399/2025-2026/187234","SOUTH(COMMISSIONER SOUTH)","Ramvir Singh Bidhuri","SOUTH DELHI","19-Jun-2026","Swing Craft","Payment Success","124495"
"7272","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189809","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","318305"
"7273","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189801","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","318305"
"7274","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189807","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","318305"
"7275","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189844","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","318305"
"7276","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189805","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","318305"
"7277","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189570","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","792490"
"7278","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189571","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","124495"
"7279","Delhi","Development of playfields and sports grounds","WS/MP18397/2025-2026/189575","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","21-May-2026","Swing Craft","Payment Success","124495"
"7280","Delhi","Providing sports equipment, except consumable items","WS/MP18395/2025-2026/186424","NORTH(COMMISSIONER MCD NORTH_IDA)","Praveen Khandelwal","CHANDINI CHOWK","19-May-2026","Swing Craft","Payment Success","666471"
"7281","Delhi","Providing sports equipment, except consumable items","WS/MP18395/2025-2026/186425","NORTH(COMMISSIONER MCD NORTH_IDA)","Praveen Khandelwal","CHANDINI CHOWK","19-May-2026","Swing Craft","Payment Success","666470"
"7282","Delhi","Fitting of Sitting RCC Benches in Public Places","WS/MP18397/2025-2026/197934","SOUTH(COMMISSIONER SOUTH)","Bansuri Swaraj","NEW DELHI","14-May-2026","Manju Enterprises","Payment Success","96000"
"7283","Punjab","Construction of bus-sheds or bus-stops","WS/MP18314/2025-2026/227231","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","24-Jun-2026","vishwakarma Surting Store","Payment Success","16000"
"7284","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/192489","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","12-May-2026","jaswanth singh","Payment Success","15756"
"7285","Punjab","Construction of bus-sheds or bus-stops","WS/MP18314/2025-2026/227231","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","24-Jun-2026","HARMAN  ENTERPRISES","Payment Success","12980"
"7286","Punjab","Construction of bus-sheds or bus-stops","WS/MP18314/2025-2026/227231","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","24-Jun-2026","NIMRAT INTERLOCK TAILES","Payment Success","18550"
"7287","Punjab","Construction of bus-sheds or bus-stops","WS/MP18314/2025-2026/227231","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","24-Jun-2026","KRISHNA STEEL","Payment Success","18450"
"7288","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18326/2025-2026/241229","SURENDRANAGAR(DISTRICT COLLECTOR SURENDRANAGAR_IDA)","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","20-Jul-2026","ENJAR GRAM PANCHAYAT","Payment Success","499537"
"7289","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18264/2025-2026/160503","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","ADV K FRANCIS GEORGE","KOTTAYAM","17-Aug-2026","K M Joseph","Payment Success","263430"
"7290","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/192489","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","12-May-2026","pratap singh","Payment Success","10332"
"7291","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/192489","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","12-May-2026","Vimla singh","Payment Success","10332"
"7292","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/192489","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","12-May-2026","Joshi brothers","Payment Success","2002"
"7293","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP794/2025-2026/239824","GONDA(DISTRICT MAGISTRATE GONDA_IDA)","Kirti Vardhan Singh","GONDA","06-May-2026","PARTEEK CONSTRUCTION","Payment Success","416880"
"7294","Punjab","Street lights","WS/MP18155/2025-2026/260965","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","05-May-2026","MAHAVIRINDUSTRIESDHURI","Payment Success","233080"
"7295","Punjab","Street lights","WS/MP18155/2025-2026/260966","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","05-May-2026","MAHAVIRINDUSTRIESDHURI","Payment Success","233080"
"7296","Telangana","Installing tube-wells and borewells","WS/MP18188/2025-2026/203037","VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2)","KONDA VISHWESHWAR REDDY","CHELVELLA","08-May-2026","Gangasaram Srinivas Reddy","Payment Success","242187"
"7297","Telangana","Providing drains and gutters for public drainage","WS/MP18188/2025-2026/222562","VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2)","KONDA VISHWESHWAR REDDY","CHELVELLA","04-May-2026","Gangasaram Srinivas Reddy","Payment Success","398379"
"7298","Telangana","Providing drains and gutters for public drainage","WS/MP18188/2025-2026/222563","VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2)","KONDA VISHWESHWAR REDDY","CHELVELLA","04-May-2026","Gangasaram Srinivas Reddy","Payment Success","396007"
"7299","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18188/2025-2026/222567","VIKARABAD(DISTRICT COLLECTOR VIKARABAD_2)","KONDA VISHWESHWAR REDDY","CHELVELLA","04-May-2026","Gangasaram Srinivas Reddy","Payment Success","499629"
"7300","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18131/2026-2027/200906","RATNAGIRI(District Collector Ratnagiri_IDA)","NARAYAN TATU RANE","RATNAGIRI-SINDHUDURG","13-Jul-2026","arjun pomu pawar","Payment Success","500000"
"7301","Madhya Pradesh","Construction of community centers and community halls","WS/MP654/2026-2027/231166","UMARIA(District Collector Umariya_IDA)","Smt Himadri Singh","SHAHDOL (ST)","14-May-2026","GRAM PANCHAYAT LAKHNOTI","Payment Success","500000"
"7302","Punjab","Construction of community centers and community halls","WS/MP381/2025-2026/227984","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","06-May-2026","Jaideep Singh Cement Store","Payment Success","165000"
"7303","Punjab","Construction of community centers and community halls","WS/MP381/2025-2026/227985","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","06-May-2026","Jaideep Singh Cement Store","Payment Success","40000"
"7304","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP650/2025-2026/216023","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shankar Lalwani","INDORE","05-May-2026","MAA SHAKTI INTERPRAJES","Payment Success","29535"
"7305","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP650/2025-2026/216023","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shankar Lalwani","INDORE","05-May-2026","MAA SHAKTI INTERPRAJES","Payment Success","18000"
"7306","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP650/2025-2026/216023","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shankar Lalwani","INDORE","05-May-2026","SHANKAR LAL PUNAMCHAND","Payment Success","25000"
"7307","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP650/2025-2026/216023","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shankar Lalwani","INDORE","05-May-2026","SHANKAR LAL PUNAMCHAND","Payment Success","25000"
"7308","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18215/2025-2026/247224","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","16-Jul-2026","MUINUDDIN CONTECTER","Payment Success","1028793"
"7309","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18215/2025-2026/247224","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","16-Jul-2026","MUINUDDIN CONTECTER","Payment Success","341345"
"7310","Himachal Pradesh","Construction of community centers and community halls","WS/MP18328/2025-2026/242448","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","13-Jul-2026","Gram Panchayat Bharnal","Payment Success","100000"
"7311","Punjab","Construction of community centers and community halls","WS/MP18311/2024-2025/141027","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","04-May-2026","DHARAMPAL","Payment Success","125000"
"7312","Haryana","Construction of common work sheds/ common covered sitting area","WS/MP18064/2025-2026/249996","YAMUNANAGAR(Deputy Commissioner YamunaNagar_IDA)","NAVEEN JINDAL","KURUKSHETRA","13-May-2026","GAINDA SINGH DEVELOPERS","Payment Success","392083"
"7313","Madhya Pradesh","Construction of public staircase/ stair ghat for public convenience","WS/MP18101/2026-2027/244407","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","RAHUL SINGH LODHI","DAMOH","18-May-2026","Gram Panchayat Sujanpur","Payment Success","750000"
"7314","Karnataka","Construction of buildings for community cultural activities","WS/MP18082/2025-2026/191405","CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA)","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","16-Jun-2026","HEMANTH KUMAR T","Payment Success","375000"
"7315","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP428/2026-2027/275135","Kabeerdham(DISTRICT COLLECTOR KABIRDHAM)","Santosh Pandey","RAJNANDGAON","20-May-2026","Gram Panchayat Kumhar Daniya","Payment Success","250000"
"7316","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248883","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","183246"
"7317","Uttar Pradesh","Lighting of public spaces","WS/MP18215/2025-2026/248881","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","AWADHESH PRASAD","FAIZABAD","27-May-2026","VIDYA SINGH","Payment Success","183246"
