"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"15864","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/202304","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","22-Jan-2026","RAJDHANI ENGINEERING","Payment Success","166353"
"15865","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/202304","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","02-Mar-2026","RAJDHANI ENGINEERING","Payment Success","243443"
"15866","Punjab","Construction of community centers and community halls","WS/MP18311/2025-2026/246793","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","MALVINDER SINGH KANG","ANANDPUR SAHIB","24-Feb-2026","Palladium Buildtech","Payment Success","500000"
"15867","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18198/2025-2026/214766","PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA)","UJJWAL RAMAN SINGH","ALLAHABAD","14-Jan-2026","vipin tiwari","Payment Success","518160"
"15868","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18198/2025-2026/214766","PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA)","UJJWAL RAMAN SINGH","ALLAHABAD","22-May-2026","vipin tiwari","Payment Success","146801"
"15869","Gujarat","Construction of culverts and bridges","WS/MP588/2025-2026/213370","DEVBHUMI DWARKA(DISTRICT COLLECTOR DEVBHUMI DWARKA_IDA)","Smt Poonamben Hematbhai Maadam","JAMNAGAR","31-Jan-2026","KHAJURIYA GRAM PANCHAYAT","Payment Success","299596"
"15870","Meghalaya","Construction of rooms and halls in school and colleges","WS/MP18137/2025-2026/233759","EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)","ANDREW J. SYNGKON","SHILLONG","15-Jan-2026","Romesh Mawkon","Payment Success","200000"
"15871","Meghalaya","Construction of rooms and halls in school and colleges","WS/MP18137/2025-2026/233759","EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)","ANDREW J. SYNGKON","SHILLONG","02-Apr-2026","Romesh Mawkon","Payment Success","120000"
"15872","Meghalaya","Construction of rooms and halls in school and colleges","WS/MP18137/2025-2026/233759","EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)","ANDREW J. SYNGKON","SHILLONG","24-Jul-2026","Romesh Mawkon","Payment Success","80000"
"15873","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18155/2024-2025/141704","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","14-Jan-2026","Ashni Kumar Mistery Sehrak","Payment Success","43200"
"15874","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18155/2024-2025/141704","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","14-Jan-2026","Ashni Kumar Mistery Sehrak","Payment Success","14300"
"15875","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP347/2025-2026/206585","ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA)","Shri Suresh Kodikunnil","MAVELIKKARA(SC)","28-Mar-2026","Biju S Pillai","Payment Success","777949"
"15876","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP347/2026-2027/187429","ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA)","Shri Suresh Kodikunnil","MAVELIKKARA(SC)","25-Jun-2026","Biju S Pillai","Payment Success","1499723"
"15877","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP347/2026-2027/187426","ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA)","Shri Suresh Kodikunnil","MAVELIKKARA(SC)","27-Jun-2026","Biju S Pillai","Payment Success","984454"
"15878","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18105/2025-2026/185761","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","ASHISH DUBEY","JABALPUR","09-Jan-2026","SHRI RAM CONSTRUCTION","Payment Success","233573"
"15879","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18105/2025-2026/187044","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","ASHISH DUBEY","JABALPUR","09-Jan-2026","SHRI RAM CONSTRUCTION","Payment Success","211182"
"15880","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18105/2025-2026/187045","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","ASHISH DUBEY","JABALPUR","20-May-2026","SHRI RAM CONSTRUCTION","Payment Success","220335"
"15881","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18167/2025-2026/186935","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","13-Jan-2026","MUNDARA Construction Company","Payment Success","644970"
"15882","Himachal Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18328/2025-2026/221504","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","22-Jan-2026","GP JimJima","Payment Success","50000"
"15883","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18324/2025-2026/240388","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","BHARATBHAI MANUBHAI SUTARIYA","AMRELI","27-Jan-2026","Piyava Gram Panchayat","Payment Success","300000"
"15884","Maharashtra","Purchase of IT systems, including hardware and software for educational purposes","WS/MP673/2025-2026/167817","Dharashiv(DISTRICT COLLECTOR OSMANABAD_IDA)","Omprakash Bhupalsinh Alias Pawan Rajenimbalkar","OSMANABAD","04-Mar-2026","Vikas Majur Sahakari Sanstha Maryadit Malkapur","Payment Success","864936"
"15885","Maharashtra","Purchase of IT systems, including hardware and software for educational purposes","WS/MP673/2025-2026/167817","Dharashiv(DISTRICT COLLECTOR OSMANABAD_IDA)","Omprakash Bhupalsinh Alias Pawan Rajenimbalkar","OSMANABAD","04-Mar-2026","Nath Enterprises Osmanabad","Payment Success","1635063"
"15886","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18189/2025-2026/183995","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","RAMASAHAYAM RAGHURAM REDDY","KHAMMAM","13-Jan-2026","YANGALA MARIYAMMA","Payment Success","499981"
