"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"38471","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154285","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38472","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154286","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38473","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154287","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38474","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154288","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38475","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154289","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38476","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154290","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38477","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154291","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38478","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154292","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38479","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154293","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38480","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154294","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38481","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154295","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38482","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154296","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38483","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154297","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38484","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154298","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38485","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154299","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38486","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154300","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38487","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154301","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38488","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154302","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38489","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154303","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38490","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154304","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38491","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154305","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38492","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154306","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38493","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154307","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38494","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154308","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38495","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154309","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38496","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154310","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38497","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154311","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38498","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154312","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38499","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154313","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38500","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154314","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38501","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154315","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38502","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154316","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38503","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154317","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38504","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154318","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38505","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154319","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38506","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154320","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38507","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154321","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38508","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/154322","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","06-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38509","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/156827","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38510","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153499","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38511","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153500","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38512","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153501","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38513","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153502","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38514","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153503","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38515","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153504","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38516","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153505","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38517","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153506","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38518","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153507","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38519","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153508","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38520","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153509","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38521","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153510","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38522","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153511","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38523","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153512","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38524","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153513","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38525","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153514","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38526","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153515","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38527","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153516","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38528","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153517","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38529","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153518","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38530","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153519","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38531","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153520","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38532","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153521","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38533","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153522","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38534","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153523","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38535","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153228","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38536","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153231","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38537","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153232","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38538","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153233","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38539","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153234","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38540","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/153235","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38541","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152848","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38542","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152849","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38543","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152850","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38544","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152851","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38545","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152852","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38546","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152853","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38547","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152855","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38548","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152856","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38549","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152857","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38550","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152858","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38551","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152859","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38552","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152860","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38553","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152861","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38554","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152862","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38555","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152863","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38556","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152864","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38557","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152865","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38558","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152866","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38559","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152867","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38560","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152868","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38561","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152869","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38562","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152870","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38563","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152871","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38564","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152872","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38565","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152873","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38566","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152874","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38567","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152875","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38568","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152876","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38569","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152877","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38570","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152878","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","05-Aug-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38571","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152891","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38572","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152892","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38573","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152893","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38574","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152894","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38575","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152895","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38576","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152896","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38577","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152897","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
"38578","West Bengal","Lighting of public spaces","WS/MP852/2024-2025/152898","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","07-Dec-2025","SUPTI ENTERPRISE","Payment Success","140538"
